Offering_ID,Supplier,Title,Original_Comment,Extracted_Bulk_String,Status
21|Stk|5.07",REVIEW_NEEDED
234,nacrystal.com,Brasilien Citrin Turm Kristall Energie Stein 8-9cm, Titel	Bereich	Preis Bulk	3 - 10	€5.66 Bulk	11 - 20	€5.37 Bulk	21 - 50	€5.07 Bulk	51 +	€4.77 Copied...,"3|Stk|5.66
11|Stk|5.37
21|Stk|5.07",REVIEW_NEEDED
236,nacrystal.com,"Nat. bras. Citrin Kristall Stein Zähne Bulk 0,1kg",Größe: 2-3cm Gewicht: etwa 10g/Stück Einfuhr aus Brasilien Zart in hoher Qualität. Mit den Händen ge...,"3|Stk|4.02
11|Stk|3.81
21|Stk|3.60",REVIEW_NEEDED
237,nacrystal.com,"Nat. bras. Citrin Kristall Stein Zähne Bulk 0,5kg",Größe: 2-3cm Gewicht: etwa 10g/Stück Einfuhr aus Brasilien Zart in hoher Qualität. Mit den Händen ge...,"3|Stk|4.02
11|Stk|3.81
21|Stk|3.60",REVIEW_NEEDED
238,nacrystal.com,Nat. bras. Citrin Kristall Stein Zähne Bulk 1kg,Größe: 2-3cm Gewicht: etwa 10g/Stück Einfuhr aus Brasilien Zart in hoher Qualität. Mit den Händen ge...,"3|Stk|4.02
11|Stk|3.81
21|Stk|3.60",REVIEW_NEEDED
241,nacrystal.com,Tumbled Rose Quartz Crystals Bulk 230g, Title	Range	Price Bulk	3 - 10	$9.41 Bulk	11 - 20	$8.91 Bulk	21 - 50	$8.42 Bulk	51 +	$7.92,"3|Stk|9.41
11|Stk|8.91
21|Stk|8.42",REVIEW_NEEDED
242,nacrystal.com,"Bulk Raw Rose Quartz Stone 0,1kg",Title	Range	Price Bulk	3 - 10	$3.71 Bulk	11 - 20	$3.51 Bulk	21 - 50	$3.32 Bulk	51 +	$3.12,"3|Stk|3.71
11|Stk|3.51
21|Stk|3.32",REVIEW_NEEDED
243,nacrystal.com,Bulk Raw Rose Quartz Stone 1kg,Title	Range	Price Bulk	3 - 10	$3.71 Bulk	11 - 20	$3.51 Bulk	21 - 50	$3.32 Bulk	51 +	$3.12 Copied fr...,"3|Stk|3.71
11|Stk|3.51
21|Stk|3.32",REVIEW_NEEDED
244,nacrystal.com,Bulk Raw Rose Quartz Stone 5kg,Title	Range	Price Bulk	3 - 10	$3.71 Bulk	11 - 20	$3.51 Bulk	21 - 50	$3.32 Bulk	51 +	$3.12 Copied fr...,"3|Stk|3.71
11|Stk|3.51
21|Stk|3.32",REVIEW_NEEDED
245,nacrystal.com,5 cm Rosenquarz, Title	Range	Price Bulk	3 - 10	$56.05 Bulk	11 - 20	$53.10 Bulk	21 - 50	$50.15 Bulk	51 +	$47.20 Copi...,"3|Stk|56.05
11|Stk|53.10
21|Stk|50.15",REVIEW_NEEDED
246,nacrystal.com,6 cm Rosenquarz, Title	Range	Price Bulk	3 - 10	$56.05 Bulk	11 - 20	$53.10 Bulk	21 - 50	$50.15 Bulk	51 +	$47.20 Copi...,"3|Stk|56.05
11|Stk|53.10
21|Stk|50.15",REVIEW_NEEDED
247,nacrystal.com,Rose Quartz Sphere Wholesale 1.5-2cm, Titel	Bereich	Preis Bulk	3 - 10	€3.03 Bulk	11 - 20	€2.87 Bulk	21 - 50	€2.71 Bulk	51 +	€2.55,"3|Stk|3.03
11|Stk|2.87
21|Stk|2.71",REVIEW_NEEDED
248,nacrystal.com,Rose Quartz Sphere Wholesale 3-4cm, Titel	Bereich	Preis Bulk	3 - 10	€3.03 Bulk	11 - 20	€2.87 Bulk	21 - 50	€2.71 Bulk	51 +	€2.55 Copied...,"3|Stk|3.03
11|Stk|2.87
21|Stk|2.71",REVIEW_NEEDED
249,nacrystal.com,Rose Quartz Sphere Wholesale 4-5cm, Titel	Bereich	Preis Bulk	3 - 10	€3.03 Bulk	11 - 20	€2.87 Bulk	21 - 50	€2.71 Bulk	51 +	€2.55 Copied...,"3|Stk|3.03
11|Stk|2.87
21|Stk|2.71",REVIEW_NEEDED
250,nacrystal.com,Rose Quartz Sphere Wholesale 2-3cm, Titel	Bereich	Preis Bulk	3 - 10	€3.03 Bulk	11 - 20	€2.87 Bulk	21 - 50	€2.71 Bulk	51 +	€2.55 Copied...,"3|Stk|3.03
11|Stk|2.87
21|Stk|2.71",REVIEW_NEEDED
251,nacrystal.com,Natürlicher klarer Quarzkristall Regenbogenstein Kugel, Titel	Bereich	Preis Bulk	3 - 10	€4.02 Bulk	11 - 20	€3.81 Bulk	21 - 50	€3.60 Bulk	51 +	€3.39,"3|Stk|4.02
11|Stk|3.81
21|Stk|3.60",REVIEW_NEEDED
262,Hüller & Hüller GmbH,"Anhänger gebohrt Trommelstein Bergkristall 2,1x2,7cm","Rabattstaffeln: 10: 19€, 50: 90€","10|Stk|19.00
50|Stk|90.00",REVIEW_NEEDED
263,Hüller & Hüller GmbH,"Anhänger gebohrt Amethyst2,1x2,7cm","Rabattstaffeln: 10: 23,50€, 50: 112,50 Copied from offering 262",10|Stk|23.50,REVIEW_NEEDED
266,nacrystal.com,"Erdbeerquarz Trommelstein 0,1kg", Titel	Bereich	Preis Bulk	3 - 10	€3.20 Bulk	11 - 20	€3.03 Bulk	21 - 50	€2.86 Bulk	51 +	€2.70,"3|Stk|3.20
11|Stk|3.03
21|Stk|2.86",REVIEW_NEEDED
267,nacrystal.com,Erdbeerquarz Trommelstein 1kg, Titel	Bereich	Preis Bulk	3 - 10	€3.20 Bulk	11 - 20	€3.03 Bulk	21 - 50	€2.86 Bulk	51 +	€2.70 Copied...,"3|Stk|3.20
11|Stk|3.03
21|Stk|2.86",REVIEW_NEEDED
289,pureEnergy,Roher klarer Quarz-Cluster - nicht verfügbar,Copied from offering 180:  Titel	Bereich	Preis Bulk	3 - 10	€16.33 Bulk	11 - 20	€15.47 Bulk	21 - 50	€...,"3|Stk|16.33
11|Stk|15.47
21|Stk|14.61",REVIEW_NEEDED
309,Lapismundi,Amethyst Herz – Anhänger mit silberner Öse,"Menge	Rabatt	Preis / Einheit 5 - 9	25%	1,49 € 10 - 19	50%	0,99 € 20+	55%	0,89 €","5|Stk|1.49|-25%
10|Stk|0.99|-50%",REVIEW_NEEDED
310,pureEnergy,Amethyst Herz – Anhänger mit silberner Öse,"Copied from offering 309: Menge	Rabatt	Preis / Einheit 5 - 9	25%	1,49 € 10 - 19	50%	0,99 € 20+	55%	0...","5|Stk|1.49|-25%
10|Stk|0.99|-50%",REVIEW_NEEDED
311,Lapismundi,Amethyst Natur Kristall Spitzen | Ministufen Anhänger mit silberner Öse,"Menge	Rabatt	Preis / Einheit 5 - 9	13%	1,29 € 10 - 19	34%	0,99 € 20 - 39	40%	0,89 € 40 - 79	47%	0,79...","5|Stk|1.29|-13%
10|Stk|0.99|-34%
20|Stk|0.89|-40%
40|Stk|0.79|-47%
80|Stk|0.69|-54%",REVIEW_NEEDED
312,pureEnergy,Amethyst Natur Kristall Spitzen | Ministufen Anhänger mit silberner Öse,"Copied from offering 311: Menge	Rabatt	Preis / Einheit 5 - 9	13%	1,29 € 10 - 19	34%	0,99 € 20 - 39	4...","5|Stk|1.29|-13%
10|Stk|0.99|-34%
20|Stk|0.89|-40%
40|Stk|0.79|-47%
80|Stk|0.69|-54%",REVIEW_NEEDED
313,Lapismundi,Amethyst Tropfen | Cabochon Anhänger mit Silber rhodinierter Öse,"Menge	Rabatt	Preis / Einheit 5 - 9	12%	2,19 € 10+	24%	1,89 €",5|Stk|2.19|-12%,REVIEW_NEEDED
314,Lapismundi,Amethyst Chevron Anhänger mit silberner Öse," Menge	Rabatt	Preis / Einheit 5 - 9	25%	1,49 € 10 - 19	50%	0,99 € 20+	60%	0,79 €","5|Stk|1.49|-25%
10|Stk|0.99|-50%",REVIEW_NEEDED
327,Lapismundi,Amethyst – Massagestab/Griffel90 Chevron – 95 mm ,"5 - 9	10%	8,99 € 10+	20%	7,99 €",5|Stk|8.99|-10%,REVIEW_NEEDED
331,Lapismundi,Kugelständer Ø 32 mm aus glasklarem Acryl für Edelstein Kugeln und Mineralien,Der Ständer ist oben mit einer schrägen Kante für optimalen Halt deiner Kugel versehen. Geeignet für...,"5|Stk|0.79|-11%
10|Stk|0.69|-22%
20|Stk|0.59|-34%
40|Stk|0.49|-45%",REVIEW_NEEDED
337,pureEnergy,Kugelständer Ø 32 mm aus glasklarem Acryl für Edelstein Kugeln und Mineralien,Copied from offering 331: Der Ständer ist oben mit einer schrägen Kante für optimalen Halt deiner Ku...,"5|Stk|0.79|-11%
10|Stk|0.69|-22%
20|Stk|0.59|-34%
40|Stk|0.49|-45%",REVIEW_NEEDED
348,Lapismundi,Amethyst Cabochon Anhänger dunkel seitlich gebohrt,"Menge	Rabatt	Preis / Einheit 5 - 9	13%	3,49 € 10+	18%	3,29 €",5|Stk|3.49|-13%,REVIEW_NEEDED
349,Lapismundi,Amethyst Cabochon Anhänger transparent seitlich gebohrt,"Menge	Rabatt	Preis / Einheit 5 - 9	13%	3,49 € 10+	18%	3,29 € Copied from offering 348",5|Stk|3.49|-13%,REVIEW_NEEDED
350,pureEnergy,Amethyst Cabochon Anhänger transparent seitlich gebohrt,"Copied from offering 349: Menge	Rabatt	Preis / Einheit 5 - 9	13%	3,49 € 10+	18%	3,29 € Copied from ...",5|Stk|3.49|-13%,REVIEW_NEEDED
351,pureEnergy,Amethyst Cabochon Anhänger dunkel seitlich gebohrt,"Copied from offering 348: Menge	Rabatt	Preis / Einheit 5 - 9	13%	3,49 € 10+	18%	3,29 €",5|Stk|3.49|-13%,REVIEW_NEEDED
386,Lapismundi,Amethyst Kugel Ø 27 – 28 mm aus Brasilien in sehr schöner Farbe,"Menge	Rabatt	Preis / Einheit 5 - 9	13%	4,09 € 10+	21%	3,69 €",5|Stk|4.09|-13%,REVIEW_NEEDED
387,pureEnergy,Amethyst Kugel Ø 27 – 28 mm aus Brasilien in sehr schöner Farbe,"Copied from offering 386: Menge	Rabatt	Preis / Einheit 5 - 9	13%	4,09 € 10+	21%	3,69 €",5|Stk|4.09|-13%,REVIEW_NEEDED
390,Lapismundi,Citrin Anhänger AA-Qualität mit silberner Öse - gebrannt,"Menge	Rabatt	Preis / Einheit 5 - 9	17%	2,49 € 10 - 19	33%	1,99 € 20+	50%	1,49 €","5|Stk|2.49|-17%
10|Stk|1.99|-33%",REVIEW_NEEDED
410,Lapismundi,Bergkristall Herz – Anhänger mit silberner Öse,"Menge	Rabatt	Preis / Einheit 5 - 9	34%	0,99 € 10+	40%	0,89 €",5|Stk|0.99|-34%,REVIEW_NEEDED
411,pureEnergy,Bergkristall Herz – Anhänger mit silberner Öse,"Copied from offering 410: Menge	Rabatt	Preis / Einheit 5 - 9	34%	0,99 € 10+	40%	0,89 €",5|Stk|0.99|-34%,REVIEW_NEEDED
412,Lapismundi,Bergkristall Herz – Anhänger glasklar mit silberner Öse,"Menge	Rabatt	Preis / Einheit 5 - 9	34%	0,99 € 10+	40%	0,89 € Copied from offering 410",5|Stk|0.99|-34%,REVIEW_NEEDED
413,pureEnergy,Bergkristall Herz – Anhänger glasklar mit silberner Öse,"Copied from offering 412: Menge	Rabatt	Preis / Einheit 5 - 9	34%	0,99 € 10+	40%	0,89 € Copied from ...",5|Stk|0.99|-34%,REVIEW_NEEDED
414,Lapismundi,Bergkristall Wand| Doppelender Anhänger mit silberner Öse,"Menge	Rabatt	Preis / Einheit 5 - 9	33%	1,99 € 10 - 19	50%	1,49 € 20+	58%	1,25 €","5|Stk|1.99|-33%
10|Stk|1.49|-50%",REVIEW_NEEDED
